Cust ID	Date Recd	Date Rept	Lab No	Sample ID 1	Sample ID 2	Total Biomass	Diversity Index	Bacteria %	Total Bacteria Biomass	Actinomycetes %	Actinomycetes Biomass	Gram (-) %	Gram (-) Biomass	Rhizobia %	Rhizobia Biomass	Total Fungi %	Total Fungi Biomass	Arbusular Mycorrhizal %	Arbuscular Mycorrhizal Biomass	Saprophytic %	Saprophytes Biomass	Protozoan %	Protozoa Biomass	Gram (+) Biomass	Gram (+) %	Undifferentiated %	Undifferentiated Biomass	Fungi:Bacteria	Predator:Prey	Gram(+):Gram(-)	Sat:Unsat	Mono:Poly	Pre 16:1w7c:cy17:0	Pre 18:1w7c:cy19:0	Beginning Depth	Ending Depth
25482	6/15/2018	6/19/2018	6021	BLOCK  1 STRIP  1 PLOT  1	GOOD	2808.51	1.425	46.03	1292.82	11.68	328.14	14.42	404.91	0	0	6.62	185.83	2.13	59.89	4.48	125.94	0.33	9.17	887.91	31.62	47.03	1320.7	0.1437	0.0071	2.1929	2.429	18.5409	ALL PRE 16:1	ALL PRE 18:1	0	6
25482	6/15/2018	6/19/2018	6022	BLOCK  1 STRIP  2 PLOT  1	GOOD	2679.19	1.203	55.95	1498.93	14.3	383.1	14.17	379.69	0	0	2.87	77.02	0.23	6.17	2.64	70.85	0	0	1119.24	41.78	41.18	1103.23	0.0514	ALL PREY	2.9478	3.1429	89.7391	NONE FOUND	ALL PRE 18:1	0	6
25482	6/15/2018	6/19/2018	6023	BLOCK  1 STRIP  3 PLOT  1	GOOD	4135.18	1.616	38.63	1597.29	8.07	333.86	14.38	594.76	0.83	34.51	9.66	399.48	3.57	147.63	6.09	251.85	1.06	43.64	1002.53	24.24	50.66	2094.77	0.2501	0.0273	1.6856	2.2142	15.9105	ALL PRE 16:1	10.3675	0	6
25482	6/15/2018	6/19/2018	6024	BLOCK  1 STRIP  4 PLOT  1	GOOD	3858.21	1.585	47.78	1843.54	12.09	466.37	13.73	529.83	2	77.22	9.14	352.61	2.51	96.96	6.63	255.65	0.91	35.1	1313.71	34.05	42.17	1626.97	0.1913	0.019	2.4795	2.2478	14.8415	7.9293	3.2214	0	6
25482	6/15/2018	6/19/2018	6025	BLOCK  2 STRIP  1 PLOT  3	GOOD	3500.32	1.439	51.68	1809.09	12.24	428.28	17.59	615.58	0	0	7.89	276.01	3.06	107.21	4.82	168.79	0.39	13.67	1193.51	34.1	40.04	1401.56	0.1526	0.0076	1.9388	1.9845	31.8402	ALL PRE 16:1	21.2208	0	6
25482	6/15/2018	6/19/2018	6026	BLOCK  2 STRIP  2 PLOT  1	GOOD	3538.64	1.472	52.96	1874.05	13.06	462.31	17.77	628.84	0	0	9.12	322.61	3.38	119.49	5.74	203.13	0.59	20.82	1245.21	35.19	37.33	1321.15	0.1721	0.0111	1.9802	1.7963	25.721	ALL PRE 16:1	18.6296	0	6
25482	6/15/2018	6/19/2018	6027	BLOCK  2 STRIP  3 PLOT  3	GOOD	3534.6	1.553	50.68	1791.31	11.57	409	16.59	586.56	1.17	41.4	9.64	340.76	2.86	101.2	6.78	239.55	0.87	30.84	1204.76	34.08	38.81	1371.69	0.1902	0.0172	2.054	1.9063	18.7769	ALL PRE 16:1	7.3261	0	6
25482	6/15/2018	6/19/2018	6028	BLOCK  2 STRIP  4 PLOT  1	GOOD	2542.92	1.439	50.32	1279.72	12.53	318.59	16.18	411.4	0	0	6.83	173.76	2.38	60.43	4.46	113.33	0.73	18.49	868.32	34.15	42.11	1070.94	0.1358	0.0144	2.1107	2.2272	21.7348	ALL PRE 16:1	26.762	0	6
25482	6/15/2018	6/19/2018	6029	BLOCK  3 STRIP  1 PLOT  1	GOOD	2238.36	1.281	48.68	1089.64	12.98	290.53	9.87	220.82	0	0	4.7	105.26	1.94	43.37	2.77	61.9	0	0	868.83	38.82	46.62	1043.45	0.0966	ALL PREY	3.9346	3.2469	41.2009	NONE FOUND	ALL PRE 18:1	0	6
25482	6/15/2018	6/19/2018	6030	BLOCK  3 STRIP  2 PLOT  3	GOOD	3735.66	1.436	51.59	1927.09	13.4	500.58	15.19	567.37	0	0	7.71	288.2	2.72	101.76	4.99	186.44	0.46	17.21	1359.72	36.4	40.24	1503.16	0.1496	0.0089	2.3966	2.028	27.7396	ALL PRE 16:1	10.9123	0	6
25482	6/15/2018	6/19/2018	6031	BLOCK  3 STRIP  3 PLOT  1	GOOD	3190.55	1.262	47.25	1507.63	11.34	361.78	10.3	328.68	0	0	4.16	132.81	1.82	57.96	2.35	74.84	0	0	1178.95	36.95	48.58	1550.12	0.0881	ALL PREY	3.5869	3.1859	120.948	NONE FOUND	ALL PRE 18:1	0	6
25482	6/15/2018	6/19/2018	6032	BLOCK  3 STRIP  4 PLOT  3	GOOD	2119.25	1.148	48.87	1035.76	14.41	305.42	6.78	143.71	0	0	2.72	57.55	1.25	26.42	1.47	31.14	0	0	892.06	42.09	48.41	1025.93	0.0556	ALL PREY	6.2075	4.3114	75.7171	NONE FOUND	ALL PRE 18:1	0	6
25482	6/15/2018	6/19/2018	6033	BLOCK  4 STRIP  1 PLOT  3	GOOD	2254.5	1.108	48.02	1082.54	12.1	272.8	8.51	191.81	0	0	2.12	47.7	0	0	2.12	47.7	0	0	890.73	39.51	49.87	1124.27	0.0441	ALL PREY	4.6438	4.472	77.6352	NONE FOUND	ALL PRE 18:1	0	6
25482	6/15/2018	6/19/2018	6034	BLOCK  4 STRIP  2 PLOT  2	GOOD	2459.38	1.088	51.69	1271.25	13.59	334.31	8.15	200.46	0	0	1.85	45.49	0.21	5.07	1.64	40.43	0	0	1070.79	43.54	46.46	1142.63	0.0358	ALL PREY	5.3417	4.1284	78.3864	NONE FOUND	ALL PRE 18:1	0	6
25482	6/15/2018	6/19/2018	6035	BLOCK  4 STRIP  3 PLOT  3	GOOD	1130.56	0.958	52.1	588.96	19.08	215.71	4.58	51.73	0	0	0.52	5.83	0	0	0.52	5.83	0	0	537.23	47.52	47.39	535.76	0.0099	ALL PREY	10.3852	8.1837	ALL MONO	NONE FOUND	ALL PRE 18:1	0	6
25482	6/15/2018	6/19/2018	6036	BLOCK  4 STRIP  4 PLOT  2	GOOD	1515.26	1.025	50.05	758.44	16.25	246.23	5.77	87.47	0	0	1.15	17.41	0	0	1.15	17.41	0	0	670.97	44.28	48.8	739.41	0.023	ALL PREY	7.671	5.5602	ALL MONO	NONE FOUND	ALL PRE 18:1	0	6
25482	6/15/2018	6/19/2018	6037	BLOCK  1 STRIP  1 PLOT  1	SALINE 	3119.1	1.513	53.69	1674.59	13.98	436.11	17.27	538.57	0.87	27.25	8.54	266.26	2.78	86.65	5.76	179.61	0.59	18.25	1136.02	36.42	37.19	1160.02	0.159	0.0109	2.1093	2.0006	15.9968	ALL PRE 16:1	10.0247	0	6
25482	6/15/2018	6/19/2018	6038	BLOCK  1 STRIP  2 PLOT  1	SALINE 	1748.94	1.262	48.48	847.89	13.61	238.02	9.06	158.44	0	0	4.29	74.96	1.92	33.61	2.36	41.34	0	0	689.44	39.42	47.23	826.1	0.0884	ALL PREY	4.3514	4.0786	52.4356	NONE FOUND	11.8511	0	6
25482	6/15/2018	6/19/2018	6039	BLOCK  1 STRIP  3 PLOT  1	SALINE 	2124.27	1.056	47.76	1014.55	14.18	301.24	6.64	140.96	0	0	1.32	28.06	0	0	1.32	28.06	0	0	873.59	41.12	50.92	1081.67	0.0277	ALL PREY	6.1975	5.4999	72.6177	NONE FOUND	12.8139	0	6
25482	6/15/2018	6/19/2018	6040	BLOCK  1 STRIP  4 PLOT  1	SALINE 	2465.33	1.245	46.64	1149.87	10.75	265.08	10.63	262	0	0	3.84	94.75	1.09	26.81	2.76	67.93	0	0	887.87	36.01	49.51	1220.7	0.0824	ALL PREY	3.3888	3.2608	227.155	ALL PRE 16:1	ALL PRE 18:1	0	6
25482	6/15/2018	6/19/2018	6041	BLOCK  2 STRIP  1 PLOT  3	SALINE 	2811.73	1.4	52.34	1471.63	12.21	343.38	18.17	510.96	0	0	6.33	177.93	2.6	73.07	3.73	104.86	0.36	10.18	960.67	34.17	40.97	1151.98	0.1209	0.0069	1.8801	1.9821	51.404	ALL PRE 16:1	8.7446	0	6
25482	6/15/2018	6/19/2018	6042	BLOCK  2 STRIP  2 PLOT  1	SALINE 	1138.47	1.096	49.52	563.76	16.45	187.23	7.57	86.14	0	0	1.44	16.43	0	0	1.44	16.43	0	0	477.62	41.95	49.04	558.28	0.0291	ALL PREY	5.5446	6.0128	8.0726	NONE FOUND	ALL PRE 18:1	0	6
25482	6/15/2018	6/19/2018	6043	BLOCK  2 STRIP  3 PLOT  3	SALINE 	2040.71	1.308	48.56	990.94	14.24	290.62	12.29	250.83	0	0	4.03	82.27	2.03	41.41	2	40.87	0	0	740.11	36.27	47.41	967.49	0.083	ALL PREY	2.9506	3.2289	110.72	NONE FOUND	12.2762	0	6
25482	6/15/2018	6/19/2018	6044	BLOCK  2 STRIP  4 PLOT  1	SALINE 	1854.19	1.264	43.95	814.89	13.99	259.41	7.62	141.25	0	0	3.78	70.11	1.92	35.56	1.86	34.55	0	0	673.64	36.33	52.27	969.19	0.086	ALL PREY	4.7692	4.8646	81.4985	NONE FOUND	8.3687	0	6
25482	6/15/2018	6/19/2018	6045	BLOCK  3 STRIP  1 PLOT  1	SALINE 	2544.22	1.281	51.27	1304.37	17.52	445.81	8.21	208.81	0	0	5.06	128.68	2.78	70.78	2.28	57.9	0	0	1095.56	43.06	43.67	1111.16	0.0987	ALL PREY	5.2467	3.6189	54.0529	NONE FOUND	5.9922	0	6
25482	6/15/2018	6/19/2018	6046	BLOCK  3 STRIP  2 PLOT  3	SALINE 	4477.05	1.62	57.93	2593.72	15.77	706.08	22.28	997.61	4.63	207.38	8.09	362.14	3	134.47	5.09	227.67	0.64	28.75	1596.1	35.65	33.34	1492.45	0.1396	0.0111	1.5999	1.7788	22.5489	6.9348	1.8018	0	6
25482	6/15/2018	6/19/2018	6047	BLOCK  3 STRIP  3 PLOT  1	SALINE 	3831.12	1.5	53.93	2066.1	12.75	488.37	16.56	634.58	1.98	75.82	6.75	258.56	2.85	109.31	3.9	149.25	0.43	16.48	1431.53	37.37	38.89	1489.99	0.1251	0.008	2.2559	2.2189	29.9825	ALL PRE 16:1	3.7184	0	6
25482	6/15/2018	6/19/2018	6048	BLOCK  3 STRIP  4 PLOT  3	SALINE 	2269.13	1.457	54.18	1229.5	15.2	344.94	15.12	343.14	0.68	15.53	6.02	136.52	2.66	60.38	3.36	76.15	0.78	17.59	886.36	39.06	39.02	885.52	0.111	0.0143	2.5831	2.5274	24.1947	ALL PRE 16:1	5.9046	0	6
25482	6/15/2018	6/19/2018	6049	BLOCK  4 STRIP  1 PLOT  3	SALINE 	2871.67	1.611	53.69	1541.68	14.6	419.37	20.19	579.81	3.42	98.27	8.36	240.09	3.02	86.79	5.34	153.29	0.55	15.7	961.87	33.5	37.41	1074.21	0.1557	0.0102	1.6589	1.7706	51.3752	ALL PRE 16:1	2.5504	0	6
25482	6/15/2018	6/19/2018	6050	BLOCK  4 STRIP  2 PLOT  2	SALINE 	2387.29	1.605	50.45	1204.3	13.79	329.1	18.93	451.95	3.53	84.27	7.17	171.1	2.54	60.66	4.63	110.44	0.51	12.07	752.35	31.52	41.88	999.83	0.1421	0.01	1.6647	2.2979	40.6695	ALL PRE 16:1	2.3257	0	6
25482	6/15/2018	6/19/2018	6051	BLOCK  4 STRIP  3 PLOT  3	SALINE 	3493.22	1.554	46.75	1633.1	11.72	409.51	17.62	615.56	2.08	72.62	6.77	236.4	2.07	72.47	4.69	163.93	0.38	13.39	1017.54	29.13	46.1	1610.34	0.1448	0.0082	1.653	1.5999	12.974	ALL PRE 16:1	4.4075	0	6
25482	6/15/2018	6/19/2018	6052	BLOCK  4 STRIP  4 PLOT  2	SALINE 	2937.6	1.405	54.76	1608.51	16.17	474.97	16.56	486.46	0	0	6.19	181.73	2.49	73.2	3.69	108.53	0.4	11.88	1122.05	38.2	38.65	1135.48	0.113	0.0074	2.3065	2.1855	36.4236	ALL PRE 16:1	4.6129	0	6
