SampleID	Rotation	Location
M_T1_R1_S1_16S_S50	CCC	Monmouth
M_T1_R1_S2_16S_S62	CCC	Monmouth
M_T1_R1_S3_16S_S74	CCC	Monmouth
M_T1_R2_S1_16S_S86	CCC	Monmouth
M_T1_R2_S2_16S_S3	CCC	Monmouth
M_T1_R2_S3_16S_S15	CCC	Monmouth
M_T1_R3_S1_16S_S27	CCC	Monmouth
M_T1_R3_S2_16S_S39	CCC	Monmouth
M_T1_R3_S3_16S_S51	CCC	Monmouth
M_T1_R4_S1_16S_S63	CCC	Monmouth
M_T1_R4_S2_16S_S75	CCC	Monmouth
M_T1_R4_S3_16S_S87	CCC	Monmouth
M_T2_R1_S1_16S_S53	SCC	Monmouth
M_T2_R1_S2_16S_S65	SCC	Monmouth
M_T2_R1_S3_16S_S77	SCC	Monmouth
M_T2_R2_S1_16S_S89	SCC	Monmouth
M_T2_R2_S2_16S_S6	SCC	Monmouth
M_T2_R2_S3_16S_S18	SCC	Monmouth
M_T2_R3_S1_16S_S30	SCC	Monmouth
M_T2_R3_S2_16S_S42	SCC	Monmouth
M_T2_R3_S3_16S_S54	SCC	Monmouth
M_T2_R4_S1_16S_S66	SCC	Monmouth
M_T2_R4_S2_16S_S78	SCC	Monmouth
M_T2_R4_S3_16S_S90	SCC	Monmouth
M_T3_R1_S1_16S_S56	CSC	Monmouth
M_T3_R1_S2_16S_S68	CSC	Monmouth
M_T3_R1_S3_16S_S80	CSC	Monmouth
M_T3_R2_S1_16S_S92	CSC	Monmouth
M_T3_R2_S2_16S_S9	CSC	Monmouth
M_T3_R2_S3_16S_S21	CSC	Monmouth
M_T3_R3_S1_16S_S33	CSC	Monmouth
M_T3_R3_S2_16S_S45	CSC	Monmouth
M_T3_R3_S3_16S_S57	CSC	Monmouth
M_T3_R4_S1_16S_S69	CSC	Monmouth
M_T3_R4_S2_16S_S81	CSC	Monmouth
M_T3_R4_S3_16S_S93	CSC	Monmouth
M_T4_R1_S1_16S_S59	SCS	Monmouth
M_T4_R1_S2_16S_S71	SCS	Monmouth
M_T4_R1_S3_16S_S83	SCS	Monmouth
M_T4_R2_S1_16S_S95	SCS	Monmouth
M_T4_R2_S2_16S_S12	SCS	Monmouth
M_T4_R2_S3_16S_S24	SCS	Monmouth
M_T4_R3_S1_16S_S36	SCS	Monmouth
M_T4_R3_S2_16S_S48	SCS	Monmouth
M_T4_R3_S3_16S_S60	SCS	Monmouth
M_T4_R4_S1_16S_S72	SCS	Monmouth
M_T4_R4_S2_16S_S193	SCS	Monmouth
M_T4_R4_S3_16S_S203	SCS	Monmouth
U_T1_R1_S1_16S_S1	CCC	Urbana
U_T1_R1_S2_16S_S13	CCC	Urbana
U_T1_R1_S3_16S_S25	CCC	Urbana
U_T1_R2_S1_16S_S37	CCC	Urbana
U_T1_R2_S2_16S_S49	CCC	Urbana
U_T1_R2_S3_16S_S61	CCC	Urbana
U_T1_R3_S1_16S_S73	CCC	Urbana
U_T1_R3_S2_16S_S85	CCC	Urbana
U_T1_R3_S3_16S_S2	CCC	Urbana
U_T1_R4_S1_16S_S14	CCC	Urbana
U_T1_R4_S2_16S_S26	CCC	Urbana
U_T1_R4_S3_16S_S38	CCC	Urbana
U_T2_R1_S1_16S_S4	SCC	Urbana
U_T2_R1_S2_16S_S16	SCC	Urbana
U_T2_R1_S3_16S_S28	SCC	Urbana
U_T2_R2_S1_16S_S40	SCC	Urbana
U_T2_R2_S2_16S_S52	SCC	Urbana
U_T2_R2_S3_16S_S64	SCC	Urbana
U_T2_R3_S1_16S_S76	SCC	Urbana
U_T2_R3_S2_16S_S88	SCC	Urbana
U_T2_R3_S3_16S_S5	SCC	Urbana
U_T2_R4_S1_16S_S17	SCC	Urbana
U_T2_R4_S2_16S_S29	SCC	Urbana
U_T2_R4_S3_16S_S41	SCC	Urbana
U_T3_R1_S1_16S_S7	CSC	Urbana
U_T3_R1_S2_16S_S19	CSC	Urbana
U_T3_R1_S3_16S_S31	CSC	Urbana
U_T3_R2_S1_16S_S43	CSC	Urbana
U_T3_R2_S2_16S_S55	CSC	Urbana
U_T3_R2_S3_16S_S67	CSC	Urbana
U_T3_R3_S1_16S_S79	CSC	Urbana
U_T3_R3_S2_16S_S91	CSC	Urbana
U_T3_R3_S3_16S_S8	CSC	Urbana
U_T3_R4_S1_16S_S20	CSC	Urbana
U_T3_R4_S2_16S_S32	CSC	Urbana
U_T3_R4_S3_16S_S44	CSC	Urbana
U_T4_R1_S1_16S_S10	SCS	Urbana
U_T4_R1_S2_16S_S22	SCS	Urbana
U_T4_R1_S3_16S_S34	SCS	Urbana
U_T4_R2_S1_16S_S46	SCS	Urbana
U_T4_R2_S2_16S_S58	SCS	Urbana
U_T4_R2_S3_16S_S70	SCS	Urbana
U_T4_R3_S1_16S_S82	SCS	Urbana
U_T4_R3_S2_16S_S94	SCS	Urbana
U_T4_R3_S3_16S_S11	SCS	Urbana
U_T4_R4_S1_16S_S23	SCS	Urbana
U_T4_R4_S2_16S_S35	SCS	Urbana
U_T4_R4_S3_16S_S47	SCS	Urbana
M_T1_R1_S1_ITS_S146	CCC	Monmouth
M_T1_R1_S2_ITS_S158	CCC	Monmouth
M_T1_R1_S3_ITS_S170	CCC	Monmouth
M_T1_R2_S1_ITS_S182	CCC	Monmouth
M_T1_R2_S2_ITS_S99	CCC	Monmouth
M_T1_R2_S3_ITS_S111	CCC	Monmouth
M_T1_R3_S1_ITS_S123	CCC	Monmouth
M_T1_R3_S2_ITS_S135	CCC	Monmouth
M_T1_R3_S3_ITS_S147	CCC	Monmouth
M_T1_R4_S1_ITS_S159	CCC	Monmouth
M_T1_R4_S2_ITS_S171	CCC	Monmouth
M_T1_R4_S3_ITS_S183	CCC	Monmouth
M_T2_R1_S1_ITS_S149	SCC	Monmouth
M_T2_R1_S2_ITS_S161	SCC	Monmouth
M_T2_R1_S3_ITS_S173	SCC	Monmouth
M_T2_R2_S1_ITS_S185	SCC	Monmouth
M_T2_R2_S2_ITS_S102	SCC	Monmouth
M_T2_R2_S3_ITS_S114	SCC	Monmouth
M_T2_R3_S1_ITS_S126	SCC	Monmouth
M_T2_R3_S2_ITS_S138	SCC	Monmouth
M_T2_R3_S3_ITS_S150	SCC	Monmouth
M_T2_R4_S1_ITS_S162	SCC	Monmouth
M_T2_R4_S2_ITS_S174	SCC	Monmouth
M_T2_R4_S3_ITS_S186	SCC	Monmouth
M_T3_R1_S1_ITS_S152	CSC	Monmouth
M_T3_R1_S2_ITS_S164	CSC	Monmouth
M_T3_R1_S3_ITS_S176	CSC	Monmouth
M_T3_R2_S1_ITS_S188	CSC	Monmouth
M_T3_R2_S2_ITS_S105	CSC	Monmouth
M_T3_R2_S3_ITS_S117	CSC	Monmouth
M_T3_R3_S1_ITS_S129	CSC	Monmouth
M_T3_R3_S2_ITS_S141	CSC	Monmouth
M_T3_R3_S3_ITS_S153	CSC	Monmouth
M_T3_R4_S1_ITS_S165	CSC	Monmouth
M_T3_R4_S2_ITS_S177	CSC	Monmouth
M_T3_R4_S3_ITS_S189	CSC	Monmouth
M_T4_R1_S1_ITS_S155	SCS	Monmouth
M_T4_R1_S2_ITS_S167	SCS	Monmouth
M_T4_R1_S3_ITS_S179	SCS	Monmouth
M_T4_R2_S1_ITS_S191	SCS	Monmouth
M_T4_R2_S2_ITS_S108	SCS	Monmouth
M_T4_R2_S3_ITS_S120	SCS	Monmouth
M_T4_R3_S1_ITS_S132	SCS	Monmouth
M_T4_R3_S2_ITS_S144	SCS	Monmouth
M_T4_R3_S3_ITS_S156	SCS	Monmouth
M_T4_R4_S1_ITS_S168	SCS	Monmouth
M_T4_R4_S2_ITS_S263	SCS	Monmouth
M_T4_R4_S3_ITS_S265	SCS	Monmouth
U_T1_R1_S1_ITS_S97	CCC	Urbana
U_T1_R1_S2_ITS_S109	CCC	Urbana
U_T1_R1_S3_ITS_S121	CCC	Urbana
U_T1_R2_S1_ITS_S133	CCC	Urbana
U_T1_R2_S2_ITS_S145	CCC	Urbana
U_T1_R2_S3_ITS_S157	CCC	Urbana
U_T1_R3_S1_ITS_S169	CCC	Urbana
U_T1_R3_S2_ITS_S181	CCC	Urbana
U_T1_R3_S3_ITS_S98	CCC	Urbana
U_T1_R4_S1_ITS_S110	CCC	Urbana
U_T1_R4_S2_ITS_S122	CCC	Urbana
U_T1_R4_S3_ITS_S134	CCC	Urbana
U_T2_R1_S1_ITS_S100	SCC	Urbana
U_T2_R1_S2_ITS_S112	SCC	Urbana
U_T2_R1_S3_ITS_S124	SCC	Urbana
U_T2_R2_S1_ITS_S136	SCC	Urbana
U_T2_R2_S2_ITS_S148	SCC	Urbana
U_T2_R2_S3_ITS_S160	SCC	Urbana
U_T2_R3_S1_ITS_S172	SCC	Urbana
U_T2_R3_S2_ITS_S184	SCC	Urbana
U_T2_R3_S3_ITS_S101	SCC	Urbana
U_T2_R4_S1_ITS_S113	SCC	Urbana
U_T2_R4_S2_ITS_S125	SCC	Urbana
U_T2_R4_S3_ITS_S137	SCC	Urbana
U_T3_R1_S1_ITS_S103	CSC	Urbana
U_T3_R1_S2_ITS_S115	CSC	Urbana
U_T3_R1_S3_ITS_S127	CSC	Urbana
U_T3_R2_S1_ITS_S139	CSC	Urbana
U_T3_R2_S2_ITS_S151	CSC	Urbana
U_T3_R2_S3_ITS_S163	CSC	Urbana
U_T3_R3_S1_ITS_S175	CSC	Urbana
U_T3_R3_S2_ITS_S187	CSC	Urbana
U_T3_R3_S3_ITS_S104	CSC	Urbana
U_T3_R4_S1_ITS_S116	CSC	Urbana
U_T3_R4_S2_ITS_S128	CSC	Urbana
U_T3_R4_S3_ITS_S140	CSC	Urbana
U_T4_R1_S1_ITS_S106	SCS	Urbana
U_T4_R1_S2_ITS_S118	SCS	Urbana
U_T4_R1_S3_ITS_S130	SCS	Urbana
U_T4_R2_S1_ITS_S142	SCS	Urbana
U_T4_R2_S2_ITS_S154	SCS	Urbana
U_T4_R2_S3_ITS_S166	SCS	Urbana
U_T4_R3_S1_ITS_S178	SCS	Urbana
U_T4_R3_S2_ITS_S190	SCS	Urbana
U_T4_R3_S3_ITS_S107	SCS	Urbana
U_T4_R4_S1_ITS_S119	SCS	Urbana
U_T4_R4_S2_ITS_S131	SCS	Urbana
U_T4_R4_S3_ITS_S143	SCS	Urbana
