Month,Week,Class,Size,Price
September,1,Pie,Medium,175
September,2,Pie,Medium,199
September,3,Pie,Medium,224
September,4,Pie,Medium,224
October,5,Pie,Medium,219
October,6,Pie,Medium,219
October,7,Pie,Medium,224
September,3,Howden,Medium,122
September,4,Howden,Medium,121
October,5,Howden,Medium,126
October,6,Howden,Medium,131
October,7,Howden,Medium,131
September,3,Howden,Large,128
September,4,Howden,Large,130
October,5,Howden,Large,130
October,6,Howden,Large,130
October,7,Howden,Large,130
September,1,Cinderella,Large,257
September,2,Cinderella,Large,208
September,3,Cinderella,Large,208
September,4,Cinderella,Large,220
October,5,Cinderella,Large,220
October,6,Cinderella,Large,208
October,7,Cinderella,Large,208
September,2,Blue,Large,175
September,3,Blue,Large,175
September,4,Blue,Large,175
October,5,Blue,Large,175
October,6,Blue,Large,175
October,7,Blue,Large,175